CardName,1,2,3,Consensus
Arid Mesa,4,1,1,1
Blackleave Cliffs,3,3,3,3
Blood Crypt,3,2,2,2
Bloodstained Mire,4,4,4,4
Mountain,2,3,3,3
Scalding Tarn,0,1,2,1
Stomping Ground,1,1,1,1
Swamp,1,1,1,1
Wooded Foothills,0,2,1,1
Ancient Grudge,3,2,2,2
Big Game Hunter,3,2,1,2
Bloodghast,4,4,4,4
Burning Inquiry,4,4,4,4
Call to the Netherworld,1,0,0,0
Collective Brutality,3,2,2,2
Engineered Explosives,2,0,2,2
Faithless Looting,4,4,4,4
Fatal Push,2,2,2,2
Flameblade Adept,4,4,4,4
Flamewake Phoenix,4,4,4,4
Goblin Lore,4,4,4,4
Grim Lavamancer,1,3,2,2
Gurmag Angler,3,4,2,3
Hazoret the Fervent,0,1,0,0
Hollow One,4,4,4,4
Kolaghan’s Command,0,2,0,0
Leyline of the Void,0,3,3,3
Lightning Axe,0,0,1,0
Lightning Bolt,4,4,4,4
Liliana of the Veil,2,0,0,0
Street Wraith,4,4,4,4
"Tasigur, the Golden Fang",1,0,2,1
Thoughtseize,0,0,2,0
